Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,_report_date,_source_file,_ingested_at
,Palau,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Cook Islands,New Zealand,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Summer Olympics 2020,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Johor,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Kedah,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Kelantan,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Melaka,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Negeri Sembilan,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Pahang,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Perak,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Perlis,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Pulau Pinang,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Sabah,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Sarawak,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Selangor,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Terengganu,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
W.P. Kuala Lumpur,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
W.P. Labuan,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
W.P. Putrajaya,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Unknown,Malaysia,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Tonga,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Winter Olympics 2022,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Antarctica,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Jersey,United Kingdom,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Guernsey,United Kingdom,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,"Korea, North",2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Unknown,Ukraine,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
England,United Kingdom,2020-02-04T23:43:01,0,2,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Northern Ireland,United Kingdom,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Scotland,United Kingdom,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Wales,United Kingdom,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Nauru,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Niue,New Zealand,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Tuvalu,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Pitcairn Islands,United Kingdom,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
