Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,_report_date,_source_file,_ingested_at
,Czech Republic,2020-03-01T15:53:06,3,0,0,49.8175,15.473,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Georgia,2020-03-01T15:43:03,3,0,0,42.3154,43.3569,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Iceland,2020-03-01T23:33:03,3,0,0,64.9631,-19.0208,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,India,2020-02-16T07:43:02,3,0,3,21.0,78.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Philippines,2020-02-12T07:43:02,3,1,1,13.0,122.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Qatar,2020-03-01T23:33:03,3,0,0,25.3548,51.1839,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Romania,2020-02-28T15:33:03,3,0,0,45.9432,24.9668,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Chicago, IL",US,2020-03-01T03:53:02,3,0,2,41.8781,-87.6298,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Santa Clara, CA",US,2020-02-29T01:33:03,3,0,1,37.3541,-121.9552,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Western Australia,Australia,2020-03-01T02:43:03,2,1,0,-31.9505,115.8605,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Belgium,2020-03-01T12:43:02,2,0,1,50.8333,4.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Brazil,2020-02-29T21:03:05,2,0,0,-14.235,-51.9253,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Egypt,2020-03-01T23:33:03,2,0,1,26.0,30.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
